ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
00020.HK,20221230,2.25,2.25,2.18,2.22,2.18,0.04,1.83,91203225,202109775.8
00700.HK,20221230,339,343.8,331.4,334,335.2,-1.2,-0.36,27211337,9169263907
00992.HK,20221230,6.5,6.5,6.38,6.41,6.39,0.02,0.31,14139750,91076908.11
01024.HK,20221230,72.5,73.3,70.45,71.05,70.65,0.4,0.57,19282425,1381517037
01810.HK,20221230,11.04,11.08,10.9,10.94,10.86,0.08,0.74,41295012,453429677.1
03690.HK,20221230,188.4,188.5,174.7,174.7,183.8,-9.1,-4.95,31271880,5576976568
09618.HK,20221230,224,225.2,218.4,220.2,218,2.2,1.01,4082108,903405710.1
09626.HK,20221230,189.6,193.8,186,186.8,182,4.8,2.64,1862656,352611236.2
09888.HK,20221230,113.3,113.7,111.1,111.7,110,1.7,1.55,3188288,358057666
09961.HK,20221230,273.4,275,267.4,273.6,267.6,6,2.24,1065652,290696008.5
09988.HK,20221230,87.3,88.3,85.7,86.25,85.55,0.7,0.82,35928445,3112837964
00020.HK,20221229,2.23,2.29,2.17,2.18,2.29,-0.11,-4.8,97706542,216453919.6
00700.HK,20221229,323,336,323,335.2,326.2,9,2.76,30087456,9991287674
00992.HK,20221229,6.43,6.57,6.36,6.39,6.6,-0.21,-3.18,22958384,147395279.1
01024.HK,20221229,71.75,72.25,70.1,70.65,73.1,-2.45,-3.35,24517831,1736030254
01810.HK,20221229,10.96,11.1,10.72,10.86,11.22,-0.36,-3.21,70917775,769939691.9
03690.HK,20221229,180.8,185,179.9,183.8,184.2,-0.4,-0.22,17062318,3120787446
09618.HK,20221229,218.8,220.4,214.4,218,230.4,-12.4,-5.38,9216806,2008299175
09626.HK,20221229,178.3,184.9,178,182,191.4,-9.4,-4.91,3185066,577709109
09888.HK,20221229,109.4,110.7,107.6,110,113.2,-3.2,-2.83,5702816,623795012.7
09961.HK,20221229,273,277.8,263,267.6,285,-17.4,-6.11,1740980,465968598.7
09988.HK,20221229,85.4,85.85,84.65,85.55,87.7,-2.15,-2.45,44950446,3831241322
00020.HK,20221228,2.18,2.31,2.18,2.29,2.16,0.13,6.02,171603294,390587603.4
00700.HK,20221228,325,329.6,321.8,326.2,320.2,6,1.87,24188394,7890186358
00992.HK,20221228,6.43,6.66,6.37,6.6,6.35,0.25,3.94,26845230,176217616.3
01024.HK,20221228,71.15,74,71,73.1,69.35,3.75,5.41,33092742,2413775259
01810.HK,20221228,11.06,11.36,10.92,11.22,10.8,0.42,3.89,84432613,941081500.5
03690.HK,20221228,186.2,189.6,182.8,184.2,183.2,1,0.55,28927593,5387521977
09618.HK,20221228,229,233.6,228.6,230.4,227.8,2.6,1.14,6402105,1479487229
09626.HK,20221228,194,195.5,187,191.4,186.2,5.2,2.79,2931281,560731896.2
09888.HK,20221228,112.4,114.8,112,113.2,112,1.2,1.07,3970856,450570205.4
09961.HK,20221228,288,289.6,283,285,277.2,7.8,2.81,4324463,1237690409
09988.HK,20221228,87.3,89.35,87.3,87.7,86.5,1.2,1.39,55669943,4911579684
00020.HK,20221223,2.16,2.21,2.14,2.16,2.21,-0.05,-2.26,69796696,151719970.5
00700.HK,20221223,318,326,317.2,320.2,323.8,-3.6,-1.11,15502697,4990075213
00992.HK,20221223,6.32,6.42,6.3,6.35,6.45,-0.1,-1.55,15223834,96751828.78
01024.HK,20221223,70.35,73.15,68.25,69.35,71.8,-2.45,-3.41,29153554,2056633666
01810.HK,20221223,10.72,10.94,10.68,10.8,11.02,-0.22,-2,39314711,424603501.5
03690.HK,20221223,180.4,185.6,180.4,183.2,186.2,-3,-1.61,17329993,3173082000
09618.HK,20221223,225.6,230,224,227.8,232.6,-4.8,-2.06,3868817,881585294.8
09626.HK,20221223,184.8,190.5,183.5,186.2,188.8,-2.6,-1.38,1769602,330350123.2
09888.HK,20221223,108.9,113.5,108.9,112,112.6,-0.6,-0.53,4756900,533145309.1
09961.HK,20221223,274.6,280.2,271,277.2,278.4,-1.2,-0.43,989075,274103913.7
09988.HK,20221223,85.4,87.55,85.4,86.5,87.9,-1.4,-1.59,34114821,2956036760
00020.HK,20221222,2.23,2.24,2.17,2.21,2.16,0.05,2.31,113536000,250321040
00700.HK,20221222,319,325.8,316.4,323.8,311,12.8,4.12,24251750,7812816081
00992.HK,20221222,6.35,6.48,6.3,6.45,6.25,0.2,3.2,26186879,168164995.5
01024.HK,20221222,69.45,72.25,68.75,71.8,67.1,4.7,7,30303120,2149570605
01810.HK,20221222,10.78,11.06,10.7,11.02,10.56,0.46,4.36,64839836,709571257.4
03690.HK,20221222,179.7,186.8,178.2,186.2,174.2,12,6.89,35630667,6555281005
09618.HK,20221222,227.8,234.4,227.2,232.6,219,13.6,6.21,6246154,1446645478
09626.HK,20221222,181.4,192.1,181.4,188.8,172.3,16.5,9.58,4775943,899289680.9
09888.HK,20221222,110.5,113.5,110.4,112.6,106.7,5.9,5.53,5075962,569897450.1
09961.HK,20221222,272,280,271.6,278.4,271.6,6.8,2.5,1441140,400005149.8
09988.HK,20221222,86.5,89.15,86.45,87.9,84.45,3.45,4.09,53772623,4732112517
00020.HK,20221221,2.11,2.16,2.11,2.16,2.09,0.07,3.35,72898865,155939344.2
00700.HK,20221221,311,313.2,308,311,309.4,1.6,0.52,15323874,4762831049
00992.HK,20221221,6.22,6.27,6.15,6.25,6.19,0.06,0.97,22397039,139171000.6
01024.HK,20221221,67.15,68.1,65.95,67.1,66.9,0.2,0.3,14074975,943269122.3
01810.HK,20221221,10.58,10.68,10.38,10.56,10.56,0,0,36889916,386677866.3
03690.HK,20221221,176.2,176.8,172.5,174.2,175.5,-1.3,-0.74,10613803,1850019863
09618.HK,20221221,220.6,223.6,216.6,219,220.4,-1.4,-0.64,4676429,1026954994
09626.HK,20221221,173,176.7,171.1,172.3,166.9,5.4,3.24,2038216,354049538.9
09888.HK,20221221,106.5,108,104.6,106.7,106.5,0.2,0.19,5088609,541068401.4
09961.HK,20221221,265,273.4,265,271.6,264.8,6.8,2.57,868316,234928058.2
09988.HK,20221221,84.45,85.4,83.7,84.45,84.05,0.4,0.48,31475853,2660728500
00020.HK,20221220,2.1,2.12,2.05,2.09,2.13,-0.04,-1.88,79327034,164731373
00700.HK,20221220,318.8,318.8,306.4,309.4,320.4,-11,-3.43,29056421,9031816188
00992.HK,20221220,6.22,6.32,6.17,6.19,6.3,-0.11,-1.75,20197557,125656713.2
